72 72 0.071303
72 72 0.067218
72 72 0.100544
72 72 0.095841
72 72 0.089831
72 72 0.100827
72 72 0.118907
72 72 0.079994
72 72 0.065978
72 72 0.066545
144 144 0.317289
144 144 0.282089
144 144 0.246984
144 144 0.309247
144 144 0.258397
144 144 0.349712
144 144 0.336284
144 144 0.242505
144 144 0.244279
144 144 0.353403
216 216 0.424835
216 216 0.592959
216 216 0.533341
216 216 0.545084
216 216 0.561217
216 216 0.510981
216 216 0.525003
216 216 0.502575
216 216 0.521360
216 216 0.496989
288 288 0.803594
288 288 0.794045
288 288 0.765582
288 288 0.921987
288 288 0.775089
288 288 0.836395
288 288 0.724557
288 288 0.731195
288 288 0.837148
288 288 0.913893
