72 10368 11.064740
72 10368 10.783789
72 10368 10.465230
72 10368 10.452825
72 10368 10.440868
72 10368 10.442574
72 10368 10.462272
72 10368 10.740017
72 10368 10.391056
72 10368 10.453457
144 10368 10.452401
144 10368 10.504065
144 10368 10.427986
144 10368 10.542809
144 10368 10.699962
144 10368 10.624262
144 10368 10.592202
144 10368 10.645283
144 10368 10.516103
144 10368 10.494982
216 10368 10.483886
216 10368 10.519788
216 10368 10.511583
216 10368 10.456456
216 10368 10.465061
216 10368 10.439960
216 10368 10.449653
216 10368 10.761686
216 10368 10.809319
216 10368 10.520768
288 10368 10.480438
288 10368 10.849128
288 10368 10.638353
288 10368 10.451791
288 10368 10.517298
288 10368 10.576008
288 10368 10.675603
288 10368 10.702205
288 10368 10.477603
288 10368 10.524038
