1 72 1000000 1038551 34.767945
1 72 1000000 1184925 32.989932
1 72 1000000 1066102 33.436445
1 72 1000000 1100929 32.962675
1 72 1000000 1181744 33.312637
1 72 1000000 1111266 33.383286
1 72 1000000 1091956 32.977569
1 72 1000000 1091662 32.865160
1 72 1000000 1038187 32.899318
1 72 1000000 1038546 32.927870
1 72 1000000 1038182 32.938016
1 72 1000000 1176209 32.878902
1 72 1000000 1092358 32.936648
1 72 1000000 1192512 33.441847
1 72 1000000 1123740 33.190953
1 72 1000000 1096858 32.887204
1 72 1000000 1094339 32.920054
1 72 1000000 1038180 32.927596
1 72 1000000 1085506 32.962964
1 72 1000000 1137651 33.762761
1 72 1000000 1115984 33.147677
1 72 1000000 1077386 33.606201
1 72 1000000 1082624 32.892037
1 72 1000000 1115682 32.972443
1 72 1000000 1038544 32.819535
1 72 1000000 1076040 32.878741
1 72 1000000 1095042 32.918607
1 72 1000000 1094764 32.891552
1 72 1000000 1123730 32.884737
1 72 1000000 1103329 32.987286
1 72 1000000 1117292 33.367382
1 72 1000000 1090938 32.845571
1 72 1000000 1094552 33.060457
1 72 1000000 1073344 32.918815
1 72 1000000 1089368 32.989880
1 72 1000000 1149059 32.877465
1 72 1000000 1121642 32.918662
1 72 1000000 1139470 32.918223
1 72 1000000 1150092 32.909814
1 72 1000000 1142500 32.930150
1 72 1000000 1150817 32.925597
1 72 1000000 1095697 32.886902
1 72 1000000 1088828 32.897260
1 72 1000000 1077872 32.898952
1 72 1000000 1038544 32.936225
1 72 1000000 1080038 32.870882
1 72 1000000 1083549 33.252621
1 72 1000000 1193354 32.872314
1 72 1000000 1122123 33.137530
1 72 1000000 1079443 33.487018
1 72 1000000 1129954 33.488324
1 72 1000000 1090115 33.653582
1 72 1000000 1110061 33.490786
1 72 1000000 1142365 33.758766
1 72 1000000 1130851 33.599842
1 72 1000000 1038544 32.932802
1 72 1000000 1038187 32.937740
1 72 1000000 1084135 32.997332
1 72 1000000 1094167 32.889379
1 72 1000000 1194239 33.090610
1 72 1000000 1146544 32.921851
1 72 1000000 1133177 33.030872
1 72 1000000 1113850 32.898652
1 72 1000000 1137686 32.978105
1 72 1000000 1080182 32.883150
1 72 1000000 1095845 32.866822
1 72 1000000 1096589 32.906517
1 72 1000000 1098655 32.908335
1 72 1000000 1112543 33.096039
1 72 1000000 1038897 32.907259
1 72 1000000 1078098 32.913622
1 72 1000000 1076256 32.923770
1 72 1000000 1078094 33.102573
